Median,Min,Max,95CIlo,95CIup
0.99559,0.93138,1.05766,0.9907883422857876,1.0029759377142125
1.072985,0.01,2.02158,0.9444045189145871,1.131058043085413
0.7793445,0.127867,2.04429,0.7868944347913761,0.9139938652086238
0.9798625000000001,0.343602,1.64387,0.9276167890889147,1.0470326709110853
0.9114994999999999,0.519068,1.43538,0.8952629525789789,0.9688804874210212
0.992264,0.837648,1.17159,0.9791788696817258,1.0037528903182742
1.0683799999999999,0.01,11.4328,1.0881017437424298,1.57039237625757
0.270679,0.01,1.94046,0.3890129401225228,0.6050597318774772
0.9113125,0.549418,2.37159,0.9422344627852588,1.0680444972147412
0.9050605,0.234819,1.38737,0.852665369100981,0.928852030899019
0.9918135,0.835436,1.17933,0.981039460453647,1.007834979546353
