,Median,Mean,Min,Max,95CIlo,95CIup,rBias,rRMSE
CL,0.995805,0.99687914,0.932802,1.05775,0.9907797505890642,1.0029785294109357,-0.0031208599999999996,0.031120793760442553
V,0.994777,1.00731744,0.01,2.04426,0.9140190651614006,1.1006158148385994,0.007317440000000007,0.4736913011741297
Q,0.8192125,0.86405791,0.134563,1.82037,0.807733358225231,0.920382461774769,-0.13594209,0.31660551235584966
Vp,1.0061149999999999,1.00719016,0.331276,1.69885,0.9481581772876437,1.0662221427123562,0.007190159999999997,0.2997656340560072
Ka,0.8971125,0.92575116,0.503882,1.43647,0.8887320739565663,0.9627702460434338,-0.07424883999999998,0.2020654010462454
BCL,0.9919644999999999,0.99144821,0.834216,1.1748,0.9789007545152538,1.0039956654847462,-0.008551789999999997,0.06426940646551826
BV,1.070595,1.433708214,0.01,12.5914,1.1118246558756313,1.7555917721243686,0.433708214,1.6906385169486398
BQ,0.47547700000000004,0.547249792,0.01,1.75851,0.43899649596716206,0.655503088032838,-0.45275020800000015,0.7120342079346543
BVp,0.9212545000000001,0.98810852,0.558145,2.44578,0.9279118959755235,1.0483051440244766,-0.01189148,0.30582304037217345
BKa,0.902845,0.88924333,0.143528,1.41199,0.8514845194895087,0.9270021405104913,-0.11075667,0.2213823057673083
RUV,1.01279,1.00862542,0.832647,1.19603,0.9946538458964383,1.0225969941035615,0.008625420000000009,0.071450070563856
