Median,Min,Max,95CIlo,95CIup
0.9961665,0.92842,1.06574,0.989923282690283,1.002415417309717
0.896501,0.412948,1.34641,0.8392490660849832,0.9041888339150168
0.8514145,0.405293,1.25906,0.8014503361530947,0.8658969638469053
1.071615,0.779013,1.21356,1.0593014818787143,1.0877945581212858
0.846113,0.416249,1.33194,0.8013018229366204,0.8693232970633795
0.9805025,0.835382,1.14612,0.9670381458090105,0.9913344141909894
1.089675,0.750169,1.65178,1.081415711063641,1.1504535289363589
0.489019,0.01,3.32358,0.4210672048622935,0.6285544551377065
0.9605555,0.487969,1.25698,0.9346107587341096,0.9726146412658904
0.929027,0.596212,1.58036,0.9029141221866996,0.9616291578133003
1.353085,1.0921,1.67559,1.341478959282149,1.3960766407178509
